,url
0,https://github.com/AdaCore/libadalang/archive/refs/heads/main.zip
1,https://github.com/AdaCore/Ada_Drivers_Library/archive/refs/heads/main.zip
2,https://github.com/Lucretia/sdlada/archive/refs/heads/main.zip
3,https://github.com/OpenAADL/ocarina/archive/refs/heads/main.zip
4,https://github.com/Lucretia/tamp/archive/refs/heads/main.zip
5,https://github.com/zertovitch/hac/archive/refs/heads/main.zip
6,https://github.com/AdaCore/ada_language_server/archive/refs/heads/main.zip
7,https://github.com/AdaDoom3/AdaDoom3/archive/refs/heads/main.zip
8,https://github.com/AdaCore/gnatstudio/archive/refs/heads/main.zip
9,https://github.com/AdaCore/gtkada/archive/refs/heads/main.zip
20,https://github.com/persan/zeromq-Ada/archive/refs/heads/main.zip
21,https://github.com/flyx/OpenGLAda/archive/refs/heads/main.zip
22,https://github.com/AdaCore/xmlada/archive/refs/heads/main.zip
23,https://github.com/AdaCore/aws/archive/refs/heads/main.zip
24,https://github.com/AdaCore/svd2ada/archive/refs/heads/main.zip
25,https://github.com/stcarrez/ada-util/archive/refs/heads/main.zip
26,https://github.com/stcarrez/ada-awa/archive/refs/heads/main.zip
27,https://github.com/tofgarion/spark-by-example/archive/refs/heads/main.zip
28,https://github.com/MayaPosch/Sarge/archive/refs/heads/main.zip
29,https://github.com/alire-project/alire/archive/refs/heads/main.zip
30,https://github.com/Nikokrock/ada-lua/archive/refs/heads/main.zip
31,https://github.com/Lucretia/bare_bones/archive/refs/heads/main.zip
32,https://github.com/cforler/Ada-Crypto-Library/archive/refs/heads/main.zip
33,https://github.com/AdaCore/ada-traits-containers/archive/refs/heads/main.zip
34,https://github.com/ytomino/drake/archive/refs/heads/main.zip
35,https://github.com/yaml/AdaYaml/archive/refs/heads/main.zip
36,https://github.com/UnstableDesign/AdaCAD/archive/refs/heads/main.zip
37,https://github.com/Fabien-Chouteau/ACNC/archive/refs/heads/main.zip
38,https://github.com/JeremyGrosser/rp2040_hal/archive/refs/heads/main.zip
39,https://github.com/gabriele-galeotti/SweetAda/archive/refs/heads/main.zip
40,https://github.com/simonjwright/cortex-gnat-rts/archive/refs/heads/main.zip
41,https://github.com/pmderodat/ada-toml/archive/refs/heads/main.zip
42,https://github.com/karakalo/lumen/archive/refs/heads/main.zip
43,https://github.com/JeremyGrosser/pico_examples/archive/refs/heads/main.zip
44,https://github.com/Apress/beginning-ada-programming/archive/refs/heads/main.zip
45,https://github.com/ajxs/cxos/archive/refs/heads/main.zip
46,https://github.com/JeremyGrosser/pico_bsp/archive/refs/heads/main.zip
47,https://github.com/stcarrez/ada-ado/archive/refs/heads/main.zip
48,https://github.com/Fabien-Chouteau/usb_embedded/archive/refs/heads/main.zip
49,https://github.com/thindil/steamsky/archive/refs/heads/main.zip
50,https://github.com/cubesatlab/cubedos/archive/refs/heads/main.zip
51,https://github.com/Fabien-Chouteau/eagle-lander/archive/refs/heads/main.zip
52,https://github.com/OneWingedShark/Ada_Tutorial/archive/refs/heads/main.zip
53,https://github.com/tomekw/simple_blockchain/archive/refs/heads/main.zip
54,https://github.com/reznikmm/protobuf/archive/refs/heads/main.zip
55,https://github.com/stcarrez/ada-keystore/archive/refs/heads/main.zip
56,https://github.com/rowsail/AdaForMicrocontrollers/archive/refs/heads/main.zip
57,https://github.com/stcarrez/ada-enet/archive/refs/heads/main.zip
58,https://github.com/raph-amiard/cours-ada-epita/archive/refs/heads/main.zip
59,https://github.com/OpenAADL/polyorb-hi-ada/archive/refs/heads/main.zip
60,https://github.com/lasp/adamant/archive/refs/heads/main.zip
61,https://github.com/AdaCore/win32ada/archive/refs/heads/main.zip
62,https://github.com/AdaCore/Robotics_with_Ada/archive/refs/heads/main.zip
63,https://github.com/raph-amiard/ada-synth-lib/archive/refs/heads/main.zip
64,https://github.com/stcarrez/ada-bfd/archive/refs/heads/main.zip
65,https://github.com/onox/json-ada/archive/refs/heads/main.zip
66,https://github.com/zertovitch/lea/archive/refs/heads/main.zip
67,https://github.com/mgrojo/ASFML/archive/refs/heads/main.zip
68,https://github.com/Fabien-Chouteau/bbqueue-spark/archive/refs/heads/main.zip
69,https://github.com/Ada-France/ayacc/archive/refs/heads/main.zip
70,https://github.com/stcarrez/swagger-ada/archive/refs/heads/main.zip
71,https://github.com/RREE/build-avr-ada-toolchain/archive/refs/heads/main.zip
72,https://github.com/Componolit/ada-runtime/archive/refs/heads/main.zip
73,https://github.com/jrmarino/AdaBase/archive/refs/heads/main.zip
74,https://github.com/samueltardieu/aforth/archive/refs/heads/main.zip
75,https://github.com/godunko/adawebpack/archive/refs/heads/main.zip
76,https://github.com/Ada-France/aflex/archive/refs/heads/main.zip
77,https://github.com/docandrew/CuBit/archive/refs/heads/main.zip
78,https://github.com/medsec/ada-fuse/archive/refs/heads/main.zip
79,https://github.com/AdaCore/RC_Car_Demo/archive/refs/heads/main.zip
80,https://github.com/alire-project/semantic_versioning/archive/refs/heads/main.zip
81,https://github.com/MLH/mlh-localhost-adacore/archive/refs/heads/main.zip
82,https://github.com/CodeWelt/Ada/archive/refs/heads/main.zip
83,https://github.com/flyx/OpenCLAda/archive/refs/heads/main.zip
84,https://github.com/yet-another-static-site-generator/yass/archive/refs/heads/main.zip
85,https://github.com/Lucretia/ether/archive/refs/heads/main.zip
86,https://github.com/reznikmm/matreshka_archive/archive/refs/heads/main.zip
87,https://github.com/malaise/ada/archive/refs/heads/main.zip
88,https://github.com/ogorodnik/rpb_ada/archive/refs/heads/main.zip
89,https://github.com/lambourg/Ada_Bare_Metal_Demos/archive/refs/heads/main.zip
90,https://github.com/dgpv/spark-bitcoin-transaction-example/archive/refs/heads/main.zip
91,https://github.com/Lucretia/meta-ada/archive/refs/heads/main.zip
92,https://github.com/subjrs/Jaba/archive/refs/heads/main.zip
93,https://github.com/damaki/libkeccak/archive/refs/heads/main.zip
94,https://github.com/stcarrez/dynamo/archive/refs/heads/main.zip
95,https://github.com/rtyler/ada-playground/archive/refs/heads/main.zip
96,https://github.com/zertovitch/gwindows/archive/refs/heads/main.zip
97,https://github.com/zertovitch/globe-3d/archive/refs/heads/main.zip
98,https://github.com/damaki/DW1000/archive/refs/heads/main.zip
99,https://github.com/zertovitch/pascal-to-ada/archive/refs/heads/main.zip
100,https://github.com/rtyler/memcache-ada/archive/refs/heads/main.zip
101,https://github.com/Robert-Tice/AdaRoombot/archive/refs/heads/main.zip
102,https://github.com/psyomn/ash/archive/refs/heads/main.zip
103,https://github.com/Fabien-Chouteau/qoi-spark/archive/refs/heads/main.zip
104,https://github.com/AdaCore/wposix/archive/refs/heads/main.zip
105,https://github.com/nsbrown/hermes/archive/refs/heads/main.zip
106,https://github.com/onox/orka/archive/refs/heads/main.zip
107,https://github.com/briot/gnatbdd/archive/refs/heads/main.zip
108,https://github.com/AdaCore/UnityAdaTetris/archive/refs/heads/main.zip
109,https://github.com/alire-project/ada_spark_workflow/archive/refs/heads/main.zip
110,https://github.com/Blady-Com/florist/archive/refs/heads/main.zip
111,https://github.com/alkhimey/Ada_Kernel_Module_Framework/archive/refs/heads/main.zip
112,https://github.com/zertovitch/zip-ada/archive/refs/heads/main.zip
113,https://github.com/karakalo/old-lumen/archive/refs/heads/main.zip
114,https://github.com/fastrgv/AdaGate/archive/refs/heads/main.zip
115,https://github.com/Fabien-Chouteau/Ada_Time/archive/refs/heads/main.zip
116,https://github.com/dmbaturin/hvinfo/archive/refs/heads/main.zip
117,https://github.com/sergio-gomez/Radalib/archive/refs/heads/main.zip
118,https://github.com/frett27/Ada-Synthetizer/archive/refs/heads/main.zip
119,https://github.com/rtyler/fucked-ada/archive/refs/heads/main.zip
120,https://github.com/jrcarter/Ada_GUI/archive/refs/heads/main.zip
121,https://github.com/zertovitch/mathpaqs/archive/refs/heads/main.zip
122,https://github.com/Blady-Com/gnoga/archive/refs/heads/main.zip
123,https://github.com/lasp/adamant_example/archive/refs/heads/main.zip
124,https://github.com/joular/powerjoular/archive/refs/heads/main.zip
125,https://github.com/pmderodat/ada-generators/archive/refs/heads/main.zip
